county,cofips,bkg10,bkg12
"Pima, AZ",04019,040190027011,040190027041
"Pima, AZ",04019,040190027012,040190027042
"Pima, AZ",04019,040190029031,040190029061
"Pima, AZ",04019,040194105011,040190041181
"Pima, AZ",04019,040194105021,040190041211
"Pima, AZ",04019,040194105031,040190041251
"Pima, AZ",04019,040194105032,040190041252
"Pima, AZ",04019,040194704001,040190052001
"Pima, AZ",04019,040194704002,040190052002
"Pima, AZ",04019,040194704003,040190052003
"Pima, AZ",04019,040194704004,040190052004
"Pima, AZ",04019,040194705001,040190053001
"Pima, AZ",04019,040194705002,040190053002
"Los Angeles, CA",06037,060379304011,060371370001
"Los Angeles, CA",06037,060379304012,060371370002
"Madison, NY",36053,360539401011,360530301011
"Madison, NY",36053,360539401012,360530301012
"Madison, NY",36053,360539401021,360530301021
"Madison, NY",36053,360539401022,360530301022
"Madison, NY",36053,360539401023,360530301023
"Madison, NY",36053,360539401024,360530301024
"Madison, NY",36053,360539401031,360530301031
"Madison, NY",36053,360539401032,360530301032
"Madison, NY",36053,360539401033,360530301033
"Madison, NY",36053,360539402001,360530302001
"Madison, NY",36053,360539402002,360530302002
"Madison, NY",36053,360539402003,360530302003
"Madison, NY",36053,360539403001,360530303001
"Madison, NY",36053,360539403002,360530303002
"Madison, NY",36053,360539403003,360530303003
"Madison, NY",36053,360539403004,360530303004
"Madison, NY",36053,360539404011,360530304011
"Madison, NY",36053,360539404012,360530304012
"Madison, NY",36053,360539404013,360530304013
"Madison, NY",36053,360539404014,360530304014
"Madison, NY",36053,360539404015,360530304015
"Madison, NY",36053,360539404031,360530304031
"Madison, NY",36053,360539404032,360530304032
"Madison, NY",36053,360539404033,360530304033
"Madison, NY",36053,360539406001,360530306001
"Madison, NY",36053,360539406002,360530306002
"Madison, NY",36053,360539406003,360530306003
"Madison, NY",36053,360539406004,360530306004
"Madison, NY",36053,360539407001,360530304021
"Madison, NY",36053,360539407002,360530304022
<<<<<<< HEAD
=======
"Oneida, NY",36065,,
>>>>>>> 83583e71d55d218a1b8fb910913ad33980b95900
"Oneida, NY",36065,360659400001,360650248001
"Oneida, NY",36065,360659400002,360650248002
"Oneida, NY",36065,360659401001,360650247001
"Oneida, NY",36065,360659401002,360650247002
"Oneida, NY",36065,360659401003,360650247003
"Oneida, NY",36065,360659401004,360650247004
"Oneida, NY",36065,360659402001,360650249001
"Oneida, NY",36065,360659402002,360650249002
"Oneida, NY",36065,360659402003,360650249003
