county,cofips,bkg09,bkg10,nocompare
"Dubuque, IA",19061,190610101051,190610101051,0
"Dubuque, IA",19061,190610101054,190610101052,0
"Dubuque, IA",19061,190610101055,190610101053,0
"Dubuque, IA",19061,190610102011,190610102011,0
"Dubuque, IA",19061,190610102014,190610102012,0
"Dubuque, IA",19061,190610102023,190610102023,0
"Dubuque, IA",19061,190610102024,190610102022,0
"Dubuque, IA",19061,190610102025,190610102021,0
"Dubuque, IA",19061,190610103005,190610103001,0
"Emmet, IA",19063,190630701001,190630701001,0
"Emmet, IA",19063,190630701002,190630701002,0
"Emmet, IA",19063,190630702001,190630702001,0
"Emmet, IA",19063,190630702002,190630702002,0
"Emmet, IA",19063,190630703001,190630703001,0
"Emmet, IA",19063,190630703002,190630703002,0
"Emmet, IA",19063,190630703003,190630703003,0
"Emmet, IA",19063,190630704001,190630704001,0
"Emmet, IA",19063,190630704002,190630704002,0
"Emmet, IA",19063,190630704003,190630704003,0
"Emmet, IA",19063,190630704004,190630704004,0
"Madison, IA",19121,191210603001,191210603001,0
"Madison, IA",19121,191210603002,191210603002,0
"Madison, IA",19121,191210603004,191210603004,0
"Page, IA",19145,191459906003,191454906002,0
"Sioux, IA",19167,191670701001,191670701001,0
"Sioux, IA",19167,191670701002,191670701002,0
"Sioux, IA",19167,191670701003,191670701003,0
"Sioux, IA",19167,191670701004,191670701004,0
"Sioux, IA",19167,191670702001,191670702001,0
"Sioux, IA",19167,191670702003,191670702003,0
"Sioux, IA",19167,191670702005,191670702002,0
"Sioux, IA",19167,191670703001,191670703001,0
"Sioux, IA",19167,191670703003,191670703003,0
"Sioux, IA",19167,191670703004,191670703004,0
"Sioux, IA",19167,191670703006,191670703005,0
"Sioux, IA",19167,191670703007,191670703002,0
"Sioux, IA",19167,191670704003,191670704003,0
"Sioux, IA",19167,191670704004,191670704002,0
"Sioux, IA",19167,191670704005,191670704001,0
"Sioux, IA",19167,191670705001,191670705001,0
"Sioux, IA",19167,191670705002,191670705002,0
"Sioux, IA",19167,191670705003,191670705003,0
"Sioux, IA",19167,191670706001,191670706001,0
"Sioux, IA",19167,191670706002,191670706002,0
"Sioux, IA",19167,191670706003,191670706003,0
"Sioux, IA",19167,191670706004,191670706004,0
"Sioux, IA",19167,191670707001,191670707001,0
"Sioux, IA",19167,191670707002,191670707002,0
"Sioux, IA",19167,191670707003,191670707003,0
"Sioux, IA",19167,191670707004,191670707004,0
"Union, IA",19175,191751901001,191751901001,0
"Union, IA",19175,191751901002,191751901002,0
"Union, IA",19175,191751901003,191751901003,0
"Union, IA",19175,191751902001,191751902001,0
"Union, IA",19175,191751902002,191751902002,0
"Union, IA",19175,191751902003,191751902003,0
"Union, IA",19175,191751902004,191751902004,0
"Union, IA",19175,191751902005,191751902005,0
"Union, IA",19175,191751903001,191751903001,0
"Union, IA",19175,191751903002,191751903002,0
"Union, IA",19175,191751904001,191751904001,0
"Union, IA",19175,191751904002,191751904002,0
"Union, IA",19175,191751904003,191751904003,0
"Union, IA",19175,191751904004,191751904004,0
"Union, IA",19175,191751904005,191751904005,0
"Worth, IA",19195,191956901001,191956901001,0
"Worth, IA",19195,191956901002,191956901002,0
"Worth, IA",19195,191956901003,191956901003,0
"Worth, IA",19195,191956902001,191956902001,0
"Worth, IA",19195,191956902002,191956902002,0
"Worth, IA",19195,191956902003,191956902003,0
"Worth, IA",19195,191956903001,191956903001,0
"Worth, IA",19195,191956903002,191956903002,0
"Worth, IA",19195,191956903003,191956903003,0
"Worth, IA",19195,191956903004,191956903004,0
"Calvert, MD",24009,240098610031,240098610031,0
"Calvert, MD",24009,240098610032,240098610032,0
"Calvert, MD",24009,240098610033,240098610033,0
"Calvert, MD",24009,240098610041,240098610041,0
"Calvert, MD",24009,240098610042,240098610042,0
"Calvert, MD",24009,240098610043,240098610043,0
"Calvert, MD",24009,240098603003,240098603003,0
"Calvert, MD",24009,240098604011,240098604011,0
"Calvert, MD",24009,240098604021,240098604021,0
"Calvert, MD",24009,240098604022,240098604022,0
"Calvert, MD",24009,240098605021,240098605021,0
"Calvert, MD",24009,240098605022,240098605022,0
"Calvert, MD",24009,240098608021,240098608021,0
"Calvert, MD",24009,240098608022,240098608022,0
"Calvert, MD",24009,240098608023,240098608023,0
"Calvert, MD",24009,240098610011,240098610011,0
"Berkshire, MA",25003,250039353001,250039353001,0
"Berkshire, MA",25003,250039353002,250039353002,0
"Berkshire, MA",25003,250039353003,,1
"Berkshire, MA",25003,250039353004,,1
"Baraga, MI",26013,260130001001,260130001001,0
"Baraga, MI",26013,260130001002,260130001002,0
"Baraga, MI",26013,260130001003,260130001003,0
"Baraga, MI",26013,260130001004,260130001004,0
"Baraga, MI",26013,260130002001,260130002001,0
"Baraga, MI",26013,260130002002,260130002002,0
"Baraga, MI",26013,260130002003,260130002003,0
"Baraga, MI",26013,260139901000,260139901000,0
"Murray, MN",27101,271019001001,271019001001,0
"Murray, MN",27101,271019001002,271019001002,0
"Murray, MN",27101,271019002001,271019002001,0
"Murray, MN",27101,271019002002,271019002002,0
"Murray, MN",27101,271019002003,271019002003,0
"Murray, MN",27101,271019003001,271019003001,0
"Murray, MN",27101,271019003002,271019003002,0
"Murray, MN",27101,271019003003,271019003003,0
"Wilson, TX",48493,484930001021,484930001021,0
"Wilson, TX",48493,484930001022,484930001022,0
"Wilson, TX",48493,484930001031,484930001031,0
"Wilson, TX",48493,484930001032,484930001032,0
"Wilson, TX",48493,484930001041,,1
"Wilson, TX",48493,484930001042,,1
"Wilson, TX",48493,484930001043,484930001043,0
"Wilson, TX",48493,484930002011,484930002011,0
"Wilson, TX",48493,484930002012,484930002012,0
"Wilson, TX",48493,484930002022,484930002022,0
"Wilson, TX",48493,484930002023,484930002021,0
"Wilson, TX",48493,484930003001,484930003001,0
"Wilson, TX",48493,484930003002,484930003002,0
"Wilson, TX",48493,484930003003,484930003003,0
"Wilson, TX",48493,484930004021,,1
"Wilson, TX",48493,484930004031,484930004031,0
"Wilson, TX",48493,484930004032,484930004032,0
"Wilson, TX",48493,484930004033,484930004033,0
"Wilson, TX",48493,484930004034,484930004034,0
"Wilson, TX",48493,484930004041,484930004041,0
"Wilson, TX",48493,484930004042,484930004042,0
"Wilson, TX",48493,484930004043,484930004043,0
"Wilson, TX",48493,484930005001,484930005001,0
"Wilson, TX",48493,484930005002,484930005002,0
"Wilson, TX",48493,484930005003,484930005003,0
"Wilson, TX",48493,484930006001,484930006001,0
"Wilson, TX",48493,484930006002,484930006002,0
"Wilson, TX",48493,484930006003,484930006003,0
