county,cofips,bkg09,bkg10,nocompare
"Bibb, AL",01007,010070100011,010070100011,0
"Bibb, AL",01007,010070100012,010070100012,0
"Bibb, AL",01007,010070100021,010070100021,0
"Bibb, AL",01007,010070100022,010070100022,0
"Bibb, AL",01007,010070100023,010070100023,0
"Bibb, AL",01007,010070100031,010070100031,0
"Bibb, AL",01007,010070100032,010070100032,0
"Bibb, AL",01007,010070100033,010070100033,0
"Bibb, AL",01007,010070100034,010070100034,0
"Bibb, AL",01007,010070100041,010070100041,0
"Bibb, AL",01007,010070100042,010070100042,0
"Bibb, AL",01007,010070100043,010070100043,0
"Bibb, AL",01007,010070100044,010070100044,0
"Bibb, AL",01007,010070100045,010070100045,0
"Bibb, AL",01007,010070100046,010070100046,0
"Coles, IL",17029,170290011002,170290011002,0
"Adair, IA",19001,190019601005,190019601001,0
"Adair, IA",19001,190019602004,190019602002,0
"Adams, IA",19003,190039501004,190039501001,0
"Adams, IA",19003,190039502004,190039502002,0
"Cass, IA",19029,190291901001,190291901001,0
"Cass, IA",19029,190291901002,190291901002,0
"Cass, IA",19029,190291901003,190291901003,0
"Cass, IA",19029,190291902001,190291902001,0
"Cass, IA",19029,190291902002,190291902002,0
"Cass, IA",19029,190291902003,190291902003,0
"Cass, IA",19029,190291903001,190291903001,0
"Cass, IA",19029,190291903002,190291903002,0
"Cass, IA",19029,190291904001,190291904001,0
"Cass, IA",19029,190291904002,190291904002,0
"Cass, IA",19029,190291904003,190291904003,0
"Cass, IA",19029,190291904004,190291904004,0
"Cass, IA",19029,190291905001,190291905001,0
"Cass, IA",19029,190291905002,190291905002,0
"Cass, IA",19029,190291905003,190291905003,0
"Clay, IA",19041,190410801001,190410801001,0
"Clay, IA",19041,190410801002,190410801002,0
"Clay, IA",19041,190410801003,190410801003,0
"Clay, IA",19041,190410802001,190410802001,0
"Clay, IA",19041,190410802002,190410802002,0
"Clay, IA",19041,190410802003,190410802003,0
"Clay, IA",19041,190410802004,190410802004,0
"Clay, IA",19041,190410802005,190410802005,0
"Clay, IA",19041,190410802006,190410802006,0
"Clay, IA",19041,190410803001,190410803001,0
"Clay, IA",19041,190410803002,190410803002,0
"Clay, IA",19041,190410803003,190410803003,0
"Clay, IA",19041,190410803004,190410803004,0
"Clay, IA",19041,190410803005,190410803005,0
"Clay, IA",19041,190410804001,190410804001,0
"Clay, IA",19041,190410804002,190410804002,0
"Clay, IA",19041,190410804003,190410804003,0
"Clay, IA",19041,190410804004,190410804004,0
"Dickinson, IA",19059,190594502001,190594502001,0
"Dickinson, IA",19059,190594502002,190594502002,0
"Dickinson, IA",19059,190594505001,190594505001,0
"Dickinson, IA",19059,190594505002,190594505002,0
"Dickinson, IA",19059,190594505003,190594505003,0
"Dickinson, IA",19059,190594505004,190594505004,0
"Dickinson, IA",19059,190594508001,190594508001,0
"Dickinson, IA",19059,190594508002,190594508002,0
"Dickinson, IA",19059,190594508003,190594508003,0
"Dickinson, IA",19059,190594510001,190594510001,0
"Dickinson, IA",19059,190594510002,190594510002,0
"Dickinson, IA",19059,190594511001,190594511001,0
"Dickinson, IA",19059,190594511002,190594511002,0
"Dickinson, IA",19059,190594511003,190594511003,0
"Dickinson, IA",19059,190594511004,190594511004,0
"Dubuque, IA",19061,190610001005,190610001003,0
"Dubuque, IA",19061,190610005006,190610005004,0
"Dubuque, IA",19061,190610008011,190610008011,0
"Dubuque, IA",19061,190610008012,190610008012,0
"Dubuque, IA",19061,190610008016,190610008014,0
"Dubuque, IA",19061,190610009005,190610009001,0
"Dubuque, IA",19061,190610012015,190610012013,0
"Dubuque, IA",19061,190610012044,190610012041,0
"Dubuque, IA",19061,190610012045,190610012042,0
"Dubuque, IA",19061,190610012052,190610012052,0
"Dubuque, IA",19061,190610012054,190610012053,0
"Dubuque, IA",19061,190610012055,190610012051,0
"Dubuque, IA",19061,190610101041,190610101041,0
"Dubuque, IA",19061,190610101042,190610101042,0
