cofips,trt09,trt00
08014,08014002002,08123002002
08014,08014002003,08123002003
08014,08014009822,08059009822
08014,08014009826,08059009826
08014,08014012906,08013012906
08014,08014012908,08013012908
02195,02195000100,02280000100
02198,02198000400,02201000400
