htot,hh
htot_moe,hh
hhfemf,hh
hhfemf_moe,hh
hhfemn,hh
hhfemn_moe,hh
hhminor,hh
hhminor_moe,hh
occhh,hh
occhh_moe,hh
occre,hh
occre_moe,hh
are1524,hh
are1524_moe,hh
are2534,hh
are2534_moe,hh
are3544,hh
are3544_moe,hh
are4554,hh
are4554_moe,hh
are5559,hh
are5559_moe,hh
are6064,hh
are6064_moe,hh
are6574,hh
are6574_moe,hh
are7584,hh
are7584_moe,hh
are8500,hh
are8500_moe,hh
pop,base
pop_moe,base
wht,base
wht_moe,base
blk,base
blk_moe,base
amn,base
amn_moe,base
asn,base
asn_moe,base
pac,base
pac_moe,base
oth,base
oth_moe,base
two,base
two_moe,base
hsp,base
hsp_moe,base
popgrp,base
popgrp_moe,base
povpop,base
povpop_moe,base
pov,base
pov_moe,base
hhunit,unit
hhunit_moe,unit
hhuvac,unit
hhuvac_moe,unit
