cofips,trt09,trt10
01007,01007010001,01007010001
01007,01007010002,01007010002
01007,01007010003,01007010003
01007,01007010004,01007010004
02105,02105000200,02105000200
02105,02105000300,02105000300
02195,02195000200,02195000200
02198,02198000100,02198000100
02198,02198000200,02198000200
02198,02198000300,02198000300
02230,02230000100,02230000100
02275,02275000300,02275000300
19029,19029190100,19029190100
19029,19029190200,19029190200
19029,19029190300,19029190300
19029,19029190400,19029190400
19029,19029190500,19029190500
19041,19041080100,19041080100
19041,19041080200,19041080200
19041,19041080300,19041080300
19041,19041080400,19041080400
19059,19059450200,19059450200
19059,19059450500,19059450500
19059,19059450800,19059450800
19059,19059451000,19059451000
19059,19059451100,19059451100
19061,19061001204,19061001204
19061,19061001205,19061001205
19061,19061010104,19061010104
19061,19061010105,19061010105
19061,19061010201,19061010201
19061,19061010202,19061010202
19063,19063070100,19063070100
19063,19063070200,19063070200
19063,19063070300,19063070300
19063,19063070400,19063070400
19167,19167070100,19167070100
19167,19167070200,19167070200
19167,19167070300,19167070300
19167,19167070400,19167070400
19167,19167070500,19167070500
19167,19167070600,19167070600
19167,19167070700,19167070700
19175,19175190100,19175190100
19175,19175190200,19175190200
19175,19175190300,19175190300
19175,19175190400,19175190400
19195,19195690100,19195690100
19195,19195690200,19195690200
19195,19195690300,19195690300
24009,24009860300,24009860300
24009,24009860401,24009860401
24009,24009860402,24009860402
24009,24009860502,24009860502
24009,24009860802,24009860802
24009,24009861001,24009861001
24009,24009861003,24009861003
24009,24009861004,24009861004
25003,25003901000,25003935200
25003,25003901200,25003935200
25003,25003935300,25003935300
26013,26013000100,26013000100
26013,26013000200,26013000200
26013,26013990100,26013990100
27101,27101900100,27101900100
27101,27101900200,27101900200
27101,27101900300,27101900300
48493,48493000102,48493000102
48493,48493000103,48493000103
48493,48493000104,48493000104
48493,48493000201,48493000201
48493,48493000202,48493000202
48493,48493000300,48493000300
48493,48493000402,48493000402
48493,48493000403,48493000403
48493,48493000404,48493000404
48493,48493000500,48493000500
48493,48493000600,48493000600
