2018-11-20 03:33:21,511 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:047 state:06 tract:002000'}, will retry shortly
2018-11-20 03:35:36,177 - INFO - received empty result for query: 2010 sf1 data {'in': 'county:037 state:06 tract:137000', 'for': 'block group:*'}
2018-11-20 03:36:08,689 - WARNING - received error fetching 2010 sf1 data {'in': 'county:037 state:06 tract:143604', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:36:21,039 - WARNING - received error fetching 2010 sf1 data {'in': 'county:067 state:06 tract:007103', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:36:28,133 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:013 state:04 tract:616800'}, will retry shortly
2018-11-20 03:36:43,883 - WARNING - received error fetching 2010 sf1 data {'in': 'county:071 state:06 tract:001804', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:37:09,279 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:073 state:06 tract:005900'}, will retry shortly
2018-11-20 03:38:59,777 - WARNING - received error fetching 2010 sf1 data {'in': 'county:065 state:06 tract:044520', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:39:40,311 - WARNING - received error fetching 2010 sf1 data {'in': 'county:081 state:06 tract:607702', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:39:59,239 - WARNING - received error fetching 2010 sf1 data {'in': 'county:067 state:06 tract:008006', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:40:19,637 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:085 state:06 tract:502902'}, will retry shortly
2018-11-20 03:42:51,883 - WARNING - received error fetching 2010 sf1 data {'in': 'county:071 state:06 tract:010018', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:44:55,591 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:073 state:06 tract:017053'}, will retry shortly
2018-11-20 03:46:16,353 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:085 state:06 tract:508204'}, will retry shortly
2018-11-20 03:49:25,726 - WARNING - received error fetching 2010 sf1 data {'in': 'county:037 state:06 tract:401603', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:49:37,866 - WARNING - received error fetching 2010 sf1 data {'in': 'county:043 state:08 tract:978300', 'for': 'block group:*'}, will retry shortly
