GEOID,name,state
0100100,Abanda,AL
01007010001,100.01,AL
010070100011,100.01.1,AL
010070100012,100.01.2,AL
010070100021,100.02.1,AL
010070100023,100.02.3,AL
01007010003,100.03,AL
010070100031,100.03.1,AL
010070100032,100.03.2,AL
010070100033,100.03.3,AL
010070100034,100.03.4,AL
01007010004,100.04,AL
010070100041,100.04.1,AL
010070100042,100.04.2,AL
010070100043,100.04.3,AL
010070100044,100.04.4,AL
010070100045,100.04.5,AL
010070100046,100.04.6,AL
0103508,Axis,AL
0103724,Bakerhill,AL
0103820,Ballplay,AL
0105140,Belgreen,AL
0105188,Bellamy,AL
0105212,Belle Fontaine,AL
0108680,Boykin,AL
0109064,Brantleyville,AL
0109457,Bristow Cove,AL
0109880,Broomtown,AL
0110456,Bucks,AL
0111488,Calvert,AL
0112070,Carlisle-Rockledge,AL
0112112,Carlton,AL
0112544,Catherine,AL
0114728,Choccolocco,AL
0114968,Chunchula,AL
0116080,Coats Bend,AL
0119024,Cullomburg,AL
0119216,Cusseta,AL
0120152,Deer Park,AL
0120272,Delta,AL
0121890,Dunnavant,AL
0122504,East Point,AL
0123224,Egypt,AL
0123880,Emerald Mountain,AL
0124616,Eunola,AL
0125216,Fairford,AL
0125864,Fayetteville,AL
0126152,Fitzpatrick,AL
0128120,Fredonia,AL
0128408,Fruitdale,AL
0128816,Gallant,AL
0131000,Graham,AL
0132248,Gulfcrest,AL
0132584,Hackneyville,AL
0133544,Hatton,AL
0134490,Highland Lakes,AL
0134984,Hissop,AL
0135130,Hobson,AL
0135512,Hollins,AL
0135536,Hollis Crossroads,AL
0135752,Holtville,AL
0138032,Ivalee,AL
0139088,Joppa,AL
0139472,Kellyton,AL
0142304,Leroy,AL
0144160,Lookout Mountain,AL
0145316,Macedonia,AL
0146072,Magnolia Springs,AL
0146192,Malcolm,AL
0146600,Marbury,AL
0147848,Megargel,AL
0148784,Millerville,AL
0151468,Morrison Crossroads,AL
0152320,Mount Olive,AL
0152680,Movico,AL
0153208,Nanafalia,AL
0153232,Nances Creek,AL
0154582,New Union,AL
0157384,Our Town,AL
0157912,Panola,AL
0159016,Penton,AL
0159088,Perdido Beach,AL
0159232,Peterman,AL
0160264,Pine Level,AL
0162952,Putnam,AL
0163495,Ray,AL
0163730,Redland,AL
0164040,Reeltown,AL
0165784,Rockville,AL
0167584,St. Stephens,AL
0169672,Shelby,AL
0169978,Shoal Creek,AL
0170632,Sims Chapel,AL
0171190,Smiths Station,AL
0172408,Spring Garden,AL
0172672,Spruce Pine,AL
0172720,Standing Rock,AL
0173056,Sterrett,AL
0173152,Stewartville,AL
0176200,Tibbie,AL
0176208,Tidmore Bend,AL
0177352,Twin,AL
0178120,Uriah,AL
0178232,Valley Grande,AL
0178312,Vandiver,AL
0179032,Vinegar Bend,AL
0180736,Weogufka,AL
0181504,Westover,AL
0181744,Whatley,AL
0182104,White Plains,AL
0182176,Whitesboro,AL
0205000,Badger,AK
021050003002,3.2,AK
021050003003,3.3,AK
0212920,Chena Ridge,AK
02195,Petersburg Census Area,AK
021950002001,2.1,AK
021950002002,2.2,AK
021950002003,2.3,AK
021980001001,1.1,AK
021980001002,1.2,AK
02198000200,2.0,AK
021980002001,2.1,AK
021980002002,2.2,AK
021980002003,2.3,AK
02198000300,3.0,AK
021980003001,3.1,AK
021989401001,9401.1,AK
021989401002,9401.2,AK
02230,Skagway Municipality,AK
02230000100,1.0,AK
022300001001,1.1,AK
0223720,Eureka Roadhouse,AK
0224980,Farmers Loop,AK
02275000300,3.0,AK
022750003001,3.1,AK
022750003002,3.2,AK
022750003003,3.3,AK
022750003004,3.4,AK
0229130,Goldstream,AK
0236550,Kachemak,AK
0245020,Loring,AK
0248590,Mertarvik,AK
0251960,Nabesna,AK
0261825,Point Possession,AK
0272230,South Van Horn,AK
