GEOID,name,state
0272985,Steele Creek,AK
0284120,Whitestone,AK
0400730,Aguila,AZ
0400940,Ak Chin,AZ
0401170,Alamo Lake,AZ
0401560,Ali Chuk,AZ
0401570,Ali Chukson,AZ
0401620,Ali Molina,AZ
04019002701,27.01,AZ
040190027011,27.01.1,AZ
040190027012,27.01.2,AZ
04019002903,29.03,AZ
040190029031,29.03.1,AZ
0401920,Alpine,AZ
04019410501,4105.01,AZ
040194105011,4105.01.1,AZ
04019410502,4105.02,AZ
040194105021,4105.02.1,AZ
04019410503,4105.03,AZ
040194105031,4105.03.1,AZ
040194105032,4105.03.2,AZ
04019470400,4704.0,AZ
040194704001,4704.1,AZ
040194704002,4704.2,AZ
040194704003,4704.3,AZ
040194704004,4704.4,AZ
04019470500,4705.0,AZ
040194705001,4705.1,AZ
040194705002,4705.2,AZ
0402270,Anegam,AZ
0402410,Antares,AZ
0402430,Anthem,AZ
0403320,Arivaca,AZ
0403380,Arivaca Junction,AZ
0404020,Arlington,AZ
0404710,Avenue B and C,AZ
0404930,Aztec,AZ
0405450,Bear Flat,AZ
0405490,Beaver Dam,AZ
0405495,Beaver Valley,AZ
0405970,Beyerville,AZ
0407380,Bowie,AZ
0407590,Brenda,AZ
0407915,Bryce,AZ
0408020,Buckshot,AZ
0408710,Bylas,AZ
0408920,Cactus Flats,AZ
0408990,Cactus Forest,AZ
0409580,Campo Bonito,AZ
0409900,Cane Beds,AZ
0410320,Carrizo,AZ
0410460,Casa Blanca,AZ
0411370,Cedar Creek,AZ
0411500,Centennial Park,AZ
0411580,Central,AZ
0412150,Charco,AZ
0412560,Chiawuli Tak,AZ
0412910,Chloride,AZ
0413140,Christopher Creek,AZ
0413540,Cienega Springs,AZ
0413820,Citrus Park,AZ
0413850,Clacks Canyon,AZ
0414030,Clay Springs,AZ
0415080,Comobabi,AZ
0415150,Concho,AZ
0415600,Copper Hill,AZ
0415850,Cornfields,AZ
0416360,Cottonwood,AZ
0416830,Cowlic,AZ
0417460,Crozier,AZ
0417500,Crystal Beach,AZ
0417810,Cutter,AZ
0418160,Dateland,AZ
0418448,Deer Creek,AZ
0418490,Del Muerto,AZ
0419740,Doney Park,AZ
0419790,Donovan Estates,AZ
0420330,Dragoon,AZ
0420560,Dripping Springs,AZ
0420570,Drysdale,AZ
0421410,East Globe,AZ
0421545,East Verde Estates,AZ
0421900,El Capitan,AZ
0421980,Elephant Head,AZ
0422080,Elfrida,AZ
0422400,El Prado Estates,AZ
0423955,Flowing Springs,AZ
0424250,Fort Apache,AZ
0424895,Fort Mohave,AZ
0424950,Fort Thomas,AZ
0425045,Fort Valley,AZ
0425650,Franklin,AZ
0425735,Freedom Acres,AZ
0426780,Geronimo Estates,AZ
0427260,Gila Crossing,AZ
0428120,Gold Camp,AZ
0428190,Golden Shores,AZ
0428465,Goodyear Village,AZ
0428985,Grand Canyon West,AZ
0429850,Greer,AZ
0430550,Gu Oidak,AZ
0430830,Hackberry,AZ
0430840,Haigler Creek,AZ
0430850,Haivana Nakya,AZ
0431182,Hard Rock,AZ
0433440,Hondah,AZ
0434700,Hunter Creek,AZ
0434980,Icehouse Canyon,AZ
0435310,Indian Wells,AZ
0436010,Jakes Corner,AZ
0436430,Joseph City,AZ
0436780,Kaka,AZ
0436920,Katherine,AZ
0437935,Kino Springs,AZ
0438250,Klagetoh,AZ
0438530,Kohatk,AZ
0438600,Kohls Ranch,AZ
0438655,Komatke,AZ
0438940,Ko Vaya,AZ
0439790,Lake of the Woods,AZ
0440160,La Paz Valley,AZ
0440400,Lazy Y U,AZ
0441085,Linden,AZ
0441470,Littlefield,AZ
0442460,Lower Santan Village,AZ
0442590,Low Mountain,AZ
0442940,Lupton,AZ
0443150,McConnico,AZ
0443570,McNeal,AZ
0443920,Maish Vaya,AZ
0444450,Maricopa Colony,AZ
0444830,Martinez Lake,AZ
0445275,Mead Ranch,AZ
0445285,Meadview,AZ
0446005,Mesa del Caballo,AZ
0446070,Mescal,AZ
0446840,Miracle Valley,AZ
0447190,Moccasin,AZ
0447740,Morristown,AZ
0449100,Nelson,AZ
0449710,Nolic,AZ
0450000,North Fork,AZ
0450340,Nutrioso,AZ
0450480,Oak Springs,AZ
0450620,Oatman,AZ
0451465,Orange Grove Mobile Manor,AZ
0451775,Oxbow Estates,AZ
0451800,Padre Ranchitos,AZ
0452230,Palominas,AZ
0455210,Picacho,AZ
0455575,Pimaco Two,AZ
0455630,Pinal,AZ
0455840,Pinedale,AZ
0455845,Pine Lake,AZ
0455880,Pinetop Country Club,AZ
0455983,Pinion Pines,AZ
0458620,Rainbow City,AZ
0458870,Rancho Mesa Verde,AZ
0459760,Red Rock,AZ
0459770,Red Rock,AZ
0459900,Rillito,AZ
0460120,Rincon Valley,AZ
0460180,Rio Rico,AZ
0460770,Rock House,AZ
0461300,Roosevelt,AZ
0461448,Round Valley,AZ
0461690,Rye,AZ
0461715,Sacate Village,AZ
0461800,Sacaton Flats Village,AZ
0461940,Saddlebrooke,AZ
0462362,St. Johns,AZ
0463050,Sanders,AZ
0463260,San Jose,AZ
0463610,San Miguel,AZ
0463820,San Simon,AZ
0463960,Santa Cruz,AZ
0464210,San Tan Valley,AZ
0464650,Scenic,AZ
0465167,Seba Dalkai,AZ
0465400,Sehili,AZ
0465780,Seven Mile,AZ
0467295,Six Shooter Canyon,AZ
0467920,So-Hi,AZ
0468010,Solomon,AZ
0468670,South Komelik,AZ
0469480,Star Valley,AZ
0469872,Stotonic Village,AZ
0470175,Summerhaven,AZ
0470460,Sunizona,AZ
0471160,Sun Valley,AZ
0471220,Sunwest,AZ
0471642,Sweet Water Village,AZ
0472280,Tat Momoli,AZ
0472630,Tees Toh,AZ
0473480,Theba,AZ
0474120,Tolani Lake,AZ
0474540,Tonopah,AZ
0474665,Tonto Village,AZ
0474680,Topawa,AZ
0474750,Topock,AZ
0475310,Toyei,AZ
0475590,Truxton,AZ
0477415,Turkey Creek,AZ
0478300,Upper Santan Village,AZ
0478400,Utting,AZ
0478680,Vaiva Vo,AZ
0478820,Valentine,AZ
0478855,Valle,AZ
0478865,Valle Vista,AZ
0479590,Ventana,AZ
0479870,Vernon,AZ
0479940,Vicksburg,AZ
0480380,Wagon Wheel,AZ
0480430,Wahak Hotrontk,AZ
0480790,Wall Lane,AZ
0480825,Walnut Creek,AZ
0481175,Washington Park,AZ
0481490,Wellton Hills,AZ
0482060,Wet Camp Village,AZ
0482120,Wheatfields,AZ
0482155,Whetstone,AZ
0482270,Whispering Pines,AZ
0482390,Whitecone,AZ
0482425,White Hills,AZ
0482450,White Mountain Lake,AZ
0482660,Why,AZ
0482810,Wide Ruins,AZ
0482880,Wikieup,AZ
0483475,Willow Canyon,AZ
0484000,Wintersburg,AZ
0484140,Wittmann,AZ
0484350,Woodruff,AZ
0485260,York,AZ
0485470,Yucca,AZ
0503010,Avilla,AR
0512790,Center Ridge,AR
0513420,Cherokee City,AR
0514050,Clarkedale,AR
0518340,Dennard,AR
0529320,Hagarville,AR
0531190,Helena-West Helena,AR
0532535,Hiwasse,AR
0532650,Holiday Island,AR
0537060,Kirby,AR
0541555,Lost Bridge Village,AR
0543430,Magnet Cove,AR
0544810,Maysville,AR
0545530,Midway,AR
0545560,Midway,AR
0548680,Natural Steps,AR
0549070,New Blaine,AR
0549220,New Edinburg,AR
0558400,Reader,AR
0560470,Roland,AR
0561730,Rye,AR
0566800,Staves,AR
0567790,Sulphur Springs,AR
0570310,Tumbling Shoals,AR
0576690,Woodlawn,AR
0577203,Yarborough Landing,AR
0600135,Acalanes Ridge,CA
0600156,Acampo,CA
0600310,Adin,CA
0600450,Agua Dulce,CA
0600464,Aguanga,CA
0600478,Ahwahnee,CA
0600535,Airport,CA
0600716,Albion,CA
0600786,Alderpoint,CA
0600898,Alhambra Valley,CA
0600982,Alleghany,CA
0600996,Allendale,CA
0601010,Allensworth,CA
0601276,Alta,CA
0601416,Alto,CA
0602028,Anchor Bay,CA
0602210,Antelope,CA
0602294,Anza,CA
0602910,Artois,CA
0603026,Aspen Springs,CA
0603205,Auburn Lake Trails,CA
0603330,Avilla Beach,CA
0603512,Baker,CA
0603694,Ballard,CA
0603708,Ballico,CA
060378002043,8002.04.3,CA
0603792,Bangor,CA
06037930401,9304.01,CA
060379304011,9304.01.1,CA
0604198,Bass Lake,CA
0604470,Bayview,CA
0604632,Bear Creek,CA
0604730,Bear Valley,CA
0604926,Bella Vista,CA
0604938,Bell Canyon,CA
0605262,Benbow,CA
0605276,Bend,CA
0605346,Benton,CA
0606070,Berry Creek,CA
0606336,Bieber,CA
0606518,Big Creek,CA
0606567,Big Lagoon,CA
0606935,Blacklake,CA
0607036,Bloomfield,CA
0607246,Bodega,CA
0607470,Bonny Doon,CA
0607512,Boonville,CA
0607694,Boulevard,CA
0608240,Bridgeport,CA
0608478,Brookdale,CA
0608530,Brooktrails,CA
0608680,Buckhorn,CA
0608716,Buck Meadows,CA
0608828,Buena Vista,CA
0609150,Burnt Ranch,CA
0609310,Butte Creek Canyon,CA
0609318,Butte Meadows,CA
0609324,Butte Valley,CA
0609822,California Hot Springs,CA
0609834,California Pines,CA
0609948,Callender,CA
0609990,Calpella,CA
0610004,Calpine,CA
0610031,Calwa,CA
0610042,Camanche North Shore,CA
0610044,Camanche Village,CA
0610270,Camino,CA
0610301,Camino Tassajara,CA
0610494,Camp Nelson,CA
0610508,Campo,CA
0610676,Camptonville,CA
0610732,Canby,CA
0611376,Carmet,CA
0611418,Carnelian Bay,CA
0611754,Casmalia,CA
0611768,Caspar,CA
0611782,Cassel,CA
0611796,Castaic,CA
0611915,Castle Hill,CA
0612062,Catheys Valley,CA
0612146,Cazadero,CA
0612300,Cedar Ridge,CA
0612314,Cedar Slope,CA
0612328,Cedarville,CA
0612412,Centerville,CA
0612594,Chalfant,CA
0612818,Cherokee,CA
0612860,Cherokee Strip,CA
0613784,Clarksburg,CA
0613854,Clay,CA
0613910,Clear Creek,CA
0613985,Clearlake Riviera,CA
0614008,Cleone,CA
0614148,Clipper Mills,CA
0614288,Coarsegold,CA
0614406,Coffee Creek,CA
0614442,Cohasset,CA
0614450,Cold Springs,CA
0614454,Cold Springs,CA
0614484,Coleville,CA
0614554,College City,CA
0614708,Collierville,CA
0614764,Coloma,CA
0615030,Comptche,CA
0616420,Coronita,CA
0616644,Coultervillle,CA
0616714,Courtland,CA
0616762,Cowan,CA
0617078,Cressey,CA
0617204,Crestmore Heights,CA
0617232,Creston,CA
0617372,Crowley Lake,CA
0617428,Crows Landing,CA
0617727,Cuyama,CA
0617995,Daphnedale Park,CA
0618086,Davenport,CA
0618450,Delft Colony,CA
0618940,Descanso,CA
0618982,Desert Center,CA
0618986,Desert Edge,CA
0619022,Desert Palms,CA
0619155,Diablo Grande,CA
0619416,Dobbins,CA
0619440,Dogtown,CA
0619654,Dos Palos Y,CA
0619724,Douglas City,CA
0619794,Downieville,CA
0619878,Doyle,CA
0619976,Drytown,CA
0620228,Dunnigan,CA
0620298,Dutch Flat,CA
0620424,Eagleville,CA
0620746,East La Mirada,CA
0620900,East Nicolaus,CA
0621210,East Tulare Villa,CA
0621230,Eastvale,CA
0621558,Edmundson Acres,CA
0621565,Edna,CA
0621964,Elizabeth Lake,CA
0622006,Elk Creek,CA
0622286,El Nido,CA
0622328,El Portal,CA
0622360,El Rancho,CA
0622457,El Sobrante,CA
0622524,Elverta,CA
0623000,Eucalyptus Hills,CA
0623210,Fairmead,CA
0623980,Fiddletown,CA
0624008,Fieldbrook,CA
0624022,Fields Landing,CA
0624218,Fish Camp,CA
0624526,Floriston,CA
0624568,Flournoy,CA
0624750,Forbestown,CA
0624918,Forest Ranch,CA
0625030,Fort Bidwell,CA
0625114,Fort Irwin,CA
0625300,Fort Washington,CA
0625488,Franklin,CA
0625506,Franklin,CA
0625590,Freeport,CA
0626067,French Valley,CA
0627130,Fruitridge Pocket,CA
0627190,Fuller Acres,CA
0628014,Fulton,CA
0628154,Garberville,CA
0628210,Garden Farms,CA
0629070,Garey,CA
0629112,Garnet,CA
0629154,Gasquet,CA
0629392,Gerber,CA
0629420,Geyserville,CA
0629644,Glen Avon,CA
0630339,Gold Mountain,CA
0630410,Good Hope,CA
0630420,Goodyears Bar,CA
0630686,Grangeville,CA
0630714,Graniteville,CA
0630900,Greeley Hill,CA
0630938,Greenacres,CA
0630944,Green Acres,CA
0630987,Greenfield,CA
0631092,Green Valley,CA
0631288,Grimes,CA
0631302,Grizzly Flats,CA
0631372,Groveland,CA
0631540,Guinda,CA
0632030,Happy Camp,CA
0632156,Hardwick,CA
0632324,Hartland,CA
0632340,Hartley,CA
0632385,Hasley Canyon,CA
0632408,Hat Creek,CA
0633294,Herald,CA
0633336,Herlong,CA
0633935,Hiouchi,CA
0634392,Homestead Valley,CA
0634405,Homewood Canyon,CA
0634428,Honcut,CA
0634484,Hood,CA
0634652,Hopland,CA
0634708,Hornitos,CA
0636098,Hyampom,CA
0636168,Idlewild,CA
0636420,Indianola,CA
0636452,Indio Hills,CA
0637022,Jacumba,CA
0637134,Janesville,CA
0637274,Jenner,CA
0637484,Johnstonville,CA
0637596,Junction City,CA
0637624,June Lake,CA
0638024,Kelly Ridge,CA
0638076,Kennedy Meadows,CA
0638156,Kenwood,CA
0638352,Keswick,CA
0638604,Kingvale,CA
0638800,Knights Landing,CA
0639094,Ladera,CA
0639114,Ladera Ranch,CA
0639318,La Honda,CA
0639460,Lake California,CA
0639472,Lake City,CA
0639484,Lake Don Pedro,CA
0639556,Lake Hughes,CA
0639645,Lake Mathews,CA
0639715,Lake Riverside,CA
0639735,Lake Sherwood,CA
0640508,La Selva Beach,CA
0640536,Las Flores,CA
0640872,La Vina,CA
0640998,Lee Vining,CA
0641026,Leggett,CA
0641142,Lemon Hill,CA
0641208,Leona Valley,CA
0641390,Likely,CA
0641656,Lindcove,CA
0641740,Linnell Camp,CA
0641782,Litchfield,CA
0641866,Little River,CA
0642146,Lockwood,CA
0642230,Lodoga,CA
0642328,Loleta,CA
0642384,Loma Mar,CA
0642510,Lompico,CA
0642622,Long Barn,CA
0643126,Lookout,CA
0644042,Los Berros,CA
0644168,Los Olivos,CA
0644242,Los Ranchos,CA
0644420,Lucerne Valley,CA
0644644,Lytle Creek,CA
0644672,Mabie,CA
0644760,McClellan Park,CA
0644770,McClenney Tract,CA
0644830,McGee Creek,CA
0645006,McSwain,CA
0645064,Madison,CA
0645092,Mad River,CA
0645386,Manchester,CA
0645414,Manila,CA
0645820,Marin City,CA
0646100,Martell,CA
0646223,Matheny,CA
0646226,Mather,CA
0646338,Maxwell,CA
0646400,Mayfair,CA
0646520,Meadowbrook,CA
0646646,Mead Valley,CA
0646842,Menifee,CA
0646926,Meridian,CA
0647066,Mesa Verde,CA
0647192,Mexican Colony,CA
0647374,Midpines,CA
0647430,Midway City,CA
0647472,Milford,CA
0647822,Minkler,CA
0647976,Mira Loma,CA
0648060,Miranda,CA
0648592,Monmouth,CA
0648602,Mono City,CA
0648676,Monson,CA
0648718,Montalvin Manor,CA
0648916,Monterey Park Tract,CA
0649045,Monument Hills,CA
0649432,Moskowite Corner,CA
0649544,Mountain Center,CA
0649558,Mountain Gate,CA
0649582,Mountain House,CA
0649810,Mount Laguna,CA
0650146,Myers Flat,CA
0651000,Newcastle,CA
0651028,New Cuyama,CA
0651042,Newell,CA
0651168,New Pine Creek,CA
0651280,Nicasio,CA
0651336,Nicolaus,CA
0651470,Nipinnawasee,CA
0651574,Nord,CA
0651622,Norris Canyon,CA
0651890,North Gate,CA
0652162,North Richmond,CA
0652246,North San Juan,CA
0652302,North Shore,CA
0652610,Nubieber,CA
0652715,Oak Glen,CA
0652760,Oak Hills,CA
0653160,Oak Shores,CA
0653196,Oakville,CA
0653224,Oasis,CA
0653505,Old Fig Garden,CA
0653602,Old Station,CA
0653924,Opal Cliffs,CA
0654218,Orick,CA
0655048,Pajaro Dunes,CA
0655506,Panorama Heights,CA
0655528,Paradise,CA
0655604,Paradise Park,CA
0655728,Parklawn,CA
0655800,Parkway,CA
0656028,Pasatiempo,CA
0656042,Paskenta,CA
0656120,Patterson Tract,CA
0656140,Patton Village,CA
0656196,Paynes Creek,CA
0656350,Pedley,CA
0656476,Penngrove,CA
0656546,Penryn,CA
0656756,Pescadero,CA
0656798,Peters,CA
0656826,Phelan,CA
0656854,Phillipsville,CA
0656868,Philo,CA
0656870,Phoenix Lake,CA
0657011,Pierpoint,CA
0657036,Pike,CA
0657070,Pine Canyon,CA
0657134,Pine Flat,CA
0657148,Pine Grove,CA
0657244,Pine Mountain Lake,CA
0657302,Piñon Hills,CA
0657330,Pioneer,CA
0657568,Plainview,CA
0657829,Plumas Lake,CA
0658134,Ponderosa,CA
0658422,Posey,CA
0658436,Poso Park,CA
0658478,Potrero,CA
0658506,Potter Valley,CA
0658758,Princeton,CA
0658814,Proberta,CA
0659115,Rackerby,CA
0659896,Red Corral,CA
0659906,Redcrest,CA
0660214,Redwood Valley,CA
0660279,Reliez Valley,CA
0660592,Richfield,CA
0660662,Richvale,CA
0660970,Rio Oso,CA
0661012,Ripley,CA
0661124,River Pines,CA
0662168,Robbins,CA
0662200,Robinson Mill,CA
0662496,Rodriguez Camp,CA
0662625,Rolling Hills,CA
0662756,Romoland,CA
0662860,Rose Hills,CA
0663106,Rough and Ready,CA
0663168,Rouse,CA
0663260,Rubidoux,CA
0663386,Ruth,CA
0663400,Rutherford,CA
0664252,Salmon Creek,CA
0664392,Samoa,CA
0668263,San Miguel,CA
0668308,San Pasqual,CA
0668434,San Simeon,CA
0669182,Santa Margarita,CA
0670028,Santa Nella,CA
0670130,Santa Rosa Valley,CA
0670140,Santa Susana,CA
0670266,Saranap,CA
0670322,Saticoy,CA
0670336,Sattley,CA
0670518,Scotia,CA
0670644,Seacliff,CA
0670712,Sea Ranch,CA
0670966,Sequoia Crest,CA
0671000,Sereno del Mar,CA
0671078,Seville,CA
0671084,Shackelford,CA
0671218,Shasta,CA
0671362,Shell Ridge,CA
0671372,Shelter Cove,CA
0671414,Sheridan,CA
0671774,Sierra Brooks,CA
0671778,Sierra City,CA
0671834,Sierra Village,CA
0671848,Sierraville,CA
0671927,Silverado Resort,CA
0671932,Silver City,CA
0671964,Silver Lakes,CA
0672086,Sisquoc,CA
0672156,Sky Valley,CA
0672184,Sleepy Hollow,CA
0672282,Smartsville,CA
0672338,Smith Corner,CA
0672380,Smith River,CA
0672408,Snelling,CA
0672478,Soda Bay,CA
0672492,Soda Springs,CA
0673167,South Monrovia Island,CA
0673554,Spaulding,CA
0673690,Spring Valley,CA
0673700,Spring Valley Lake,CA
0674130,Stevenson Ranch,CA
0674144,Stevinson,CA
0674186,Stirling City,CA
0675154,Stonyford,CA
0675322,Strawberry,CA
0675588,Sugarloaf Mountain Park,CA
0675592,Sugarloaf Saw Mill,CA
0675596,Sugarloaf Village,CA
0675672,Sultana,CA
0675994,Sunnyside,CA
0676022,Sunnyslope,CA
0676040,Sunny Slopes,CA
0677126,Sunset Beach,CA
0677308,Sun Village,CA
0677430,Swall Meadows,CA
0677728,Tahoma,CA
0677960,Tarpey Village,CA
0678134,Temescal Valley,CA
0678232,Terminous,CA
0678336,Teviston,CA
0678456,Thermal,CA
0678568,Thornton,CA
0678652,Three Rocks,CA
0678715,Timber Cove,CA
0678932,Tonyville,CA
0678949,Tooleville,CA
0678960,Topanga,CA
0679030,Topaz,CA
0680364,Tres Pinos,CA
0680476,Trinity Center,CA
0680483,Trinity Village,CA
0680515,Trona,CA
0680560,Trowbridge,CA
0680882,Tuttle,CA
0680896,Tuttletown,CA
0681302,University of California Davis,CA
0681312,University of California Merced,CA
0681778,Valley Ford,CA
0681792,Valley Home,CA
0681925,Valley Wells,CA
0682334,Verdi,CA
0682562,Victor,CA
0682786,Vina,CA
0682814,Vincent,CA
0683085,Vista Santa Rosa,CA
0683094,Volcano,CA
0683108,Volta,CA
0683215,Waldon,CA
0683262,Walker,CA
0683460,Warm Springs,CA
0683494,Warner Valley,CA
0683570,Washington,CA
0683626,Waterloo,CA
0683724,Waukena,CA
0683766,Wawona,CA
0684004,Weott,CA
0684345,West Goshen,CA
0684680,West Park,CA
0685206,Whitewater,CA
0685222,Whitley Gardens,CA
0685866,Wilsonia,CA
0686230,Woodbridge,CA
0686380,Woodlands,CA
0686678,Yankee Hill,CA
0686734,Yettem,CA
0686804,Yolo,CA
0687090,Zayante,CA
0800620,Aetna Estates,CO
08014,Broomfield County,CO
08014030000,300.0,CO
080140300001,300.1,CO
080140300002,300.2,CO
08014030100,301.0,CO
080140301001,301.1,CO
080140301002,301.2,CO
08014030300,303.0,CO
080140303001,303.1,CO
080140303002,303.2,CO
08014030400,304.0,CO
080140304001,304.1,CO
080140304002,304.2,CO
080140304003,304.3,CO
08014030500,305.0,CO
080140305001,305.1,CO
080140305002,305.2,CO
080140305003,305.3,CO
080140305004,305.4,CO
080140306004,306.4,CO
080140307002,307.2,CO
08014030800,308.0,CO
080140308001,308.1,CO
080140308002,308.2,CO
080140308003,308.3,CO
080140308004,308.4,CO
080140309004,309.4,CO
080140310001,310.1,CO
080140310002,310.2,CO
0801640,Alpine,CO
0801740,Altona,CO
0801915,Amherst,CO
0804620,Bark Ranch,CO
0807245,Blende,CO
0807420,Blue Sky,CO
0807580,Bonanza Mountain Estates,CO
0808290,Brandon,CO
0808530,Brick Center,CO
0811975,Capulin,CO
0812390,Castle Pines North,CO
0812450,Cathedral,CO
0812460,Catherine,CO
0812470,Cattle Creek,CO
0812815,Centennial,CO
0812945,Chacra,CO
0813590,Cherry Creek,CO
0815440,Coaldale,CO
0815825,Colona,CO
0816465,Comanche Creek,CO
0816715,Conejos,CO
0817150,Copper Mountain,CO
0817485,Cotopaxi,CO
0818585,Crisman,CO
0819150,Dakota Ridge,CO
0820605,Divide,CO
0821155,Dotsero,CO
0821330,Dove Valley,CO
0823520,Elbert,CO
0824235,Ellicott,CO
0824290,El Moro,CO
0825550,Fairmount,CO
0827095,Florissant,CO
0827175,Floyd Hill,CO
0828830,Fulford,CO
0829295,Garfield,CO
0829845,Gerrard,CO
0830350,Glendale,CO
0830890,Goldfield,CO
0833420,Guffey,CO
0834685,Hasty,CO
0835400,Heeney,CO
0835860,Hidden Lake,CO
0836940,Hoehne,CO
0837220,Holly Hills,CO
0837655,Howard,CO
0838425,Idalia,CO
0838480,Idledale,CO
0838910,Inverness,CO
0839160,Jackson Lake,CO
0839250,Jansen,CO
0839745,Joes,CO
0839800,Johnson Village,CO
0840900,Kirk,CO
0842000,Laird,CO
0842165,La Junta Gardens,CO
0844270,Lazy Acres,CO
0844595,Lewis,CO
0844695,Leyner,CO
0845750,Loma,CO
0847015,Lynn,CO
0847345,McCoy,CO
0849325,Maybell,CO
0849490,Maysville,CO
0850380,Midland,CO
0851975,Morgan Heights,CO
0852210,Mountain Meadows,CO
0852820,Mulford,CO
0853875,No Name,CO
0853945,Norrie,CO
0854495,North La Junta,CO
0855925,Orchard,CO
0857445,Paragon Estates,CO
0857850,Parshall,CO
0858510,Peoria,CO
0858675,Peyton,CO
0858758,Phippsburg,CO
0858960,Piedra,CO
0859240,Pine Brook Hill,CO
0860765,Portland,CO
0863650,Redstone,CO
0863705,Redvale,CO
0864870,Rock Creek Park,CO
0865685,Rollinsville,CO
0866995,Saddle Ridge,CO
0867040,St. Ann Highlands,CO
0867500,San Acacio,CO
0868985,Segundo,CO
0869110,Seven Hills,CO
0869480,Shaw Heights,CO
0871625,Smeltertown,CO
0871790,Snyder,CO
0872320,Southern Ute,CO
0874275,Stonewall Gap,CO
0874980,Sugarloaf,CO
0875585,Sunshine,CO
0876325,Tall Timber,CO
0878335,Towner,CO
0878345,Trail Side,CO
0879105,Twin Lakes,CO
0879785,Upper Bear Creek,CO
0880095,Valdez,CO
0880370,Valmont,CO
0880755,Vernon,CO
0881305,Vineland,CO
0882905,Watkins,CO
0883175,Weldona,CO
0884000,Weston,CO
0885760,Wolcott,CO
